,age,job,marital,education,default,housing,loan,contact,month,day_of_week,y,cluster
0,56,0,0,0,0,0,0,1,0,0,0,1
1,57,1,0,1,1,0,0,1,0,0,0,0
2,37,1,0,1,0,2,0,1,0,0,0,1
3,40,2,0,2,0,0,0,1,0,0,0,1
4,56,1,0,1,0,0,2,1,0,0,0,1
5,45,1,0,3,1,0,0,1,0,0,0,0
6,59,2,0,4,0,0,0,1,0,0,0,1
7,41,3,0,5,1,0,0,1,0,0,0,0
8,24,4,1,4,0,2,0,1,0,0,0,1
9,25,1,1,1,0,2,0,1,0,0,0,1
10,41,3,0,5,1,0,0,1,0,0,0,0
11,25,1,1,1,0,2,0,1,0,0,0,1
12,29,3,1,1,0,0,2,1,0,0,0,1
13,57,0,2,0,0,2,0,1,0,0,0,1
14,35,3,0,2,0,2,0,1,0,0,0,1
15,54,5,0,3,1,2,2,1,0,0,0,0
16,35,3,0,2,0,2,0,1,0,0,0,1
17,46,3,0,2,1,2,2,1,0,0,0,0
18,50,3,0,3,0,2,2,1,0,0,0,1
19,39,6,1,3,1,0,0,1,0,0,0,0
20,30,7,0,1,0,0,0,1,0,0,0,1
21,55,3,0,0,1,2,0,1,0,0,0,0
22,55,5,1,1,0,2,0,1,0,0,0,1
23,41,4,1,1,0,2,0,1,0,0,0,1
24,37,2,0,1,0,2,0,1,0,0,0,1
25,35,4,0,6,0,0,2,1,0,0,0,1
26,59,4,0,5,0,2,0,1,0,0,0,1
27,39,8,0,3,1,0,0,1,0,0,0,0
28,54,4,1,6,1,0,0,1,0,0,0,0
29,55,9,0,6,1,1,1,1,0,0,0,0
30,46,2,0,5,0,0,0,1,0,0,0,1
31,59,4,0,5,0,2,0,1,0,0,0,1
32,49,3,0,5,0,0,0,1,0,0,0,1
33,54,6,0,0,1,2,0,1,0,0,0,0
34,54,3,2,0,0,0,0,1,0,0,0,1
35,55,9,0,0,1,2,0,1,0,0,0,0
36,34,1,0,1,0,0,0,1,0,0,0,1
37,52,4,0,3,0,2,0,1,0,0,0,1
38,41,2,0,6,0,2,0,1,0,0,0,1
39,56,4,0,0,0,2,0,1,0,0,0,1
40,58,6,3,6,0,2,0,1,0,0,0,1
41,32,10,0,1,0,2,0,1,0,0,0,1
42,38,2,1,4,0,0,0,1,0,0,0,1
43,57,2,0,6,0,0,2,1,0,0,0,1
44,44,2,0,6,1,2,0,1,0,0,0,0
45,42,4,1,4,1,0,0,1,0,0,0,0
46,57,2,0,6,0,2,2,1,0,0,0,1
47,40,3,0,3,0,0,2,1,0,0,0,1
48,35,2,0,6,0,2,0,1,0,0,0,1
49,45,3,0,3,0,2,0,1,0,0,0,1
50,54,2,0,1,0,0,0,1,0,0,0,1
51,39,0,0,0,0,0,2,1,0,0,0,1
52,60,2,0,1,0,0,0,1,0,0,0,1
53,53,2,1,4,0,0,0,1,0,0,0,1
54,55,3,0,0,1,0,0,1,0,0,0,0
55,55,4,0,4,1,2,0,1,0,0,0,0
56,50,6,0,6,1,0,2,1,0,0,0,0
57,45,1,0,1,1,2,0,1,0,0,0,0
58,55,7,0,4,1,2,2,1,0,0,0,0
59,25,4,1,6,0,2,0,1,0,0,0,1
60,47,10,0,6,1,0,0,1,0,0,0,0
61,51,3,0,3,0,2,0,1,0,0,0,1
62,42,3,0,2,1,2,0,1,0,0,0,0
63,42,3,0,2,1,0,0,1,0,0,0,0
64,48,2,0,1,0,0,0,1,0,0,0,1
65,37,2,0,6,0,0,0,1,0,0,0,1
66,44,3,1,3,0,2,0,1,0,0,0,1
67,33,2,0,5,0,2,0,1,0,0,0,1
68,56,2,0,3,0,2,0,1,0,0,0,1
69,44,3,1,0,1,2,2,1,0,0,0,0
70,41,6,0,2,0,0,0,1,0,0,0,1
71,44,6,2,6,0,2,0,1,0,0,0,1
72,47,2,0,6,1,2,0,1,0,0,0,0
73,57,9,0,5,1,0,0,1,0,0,0,0
74,37,2,0,6,1,2,0,1,0,0,0,0
75,41,3,2,0,1,2,0,1,0,0,1,0
76,55,4,0,6,0,0,0,1,0,0,0,1
77,33,1,0,1,1,2,0,1,0,0,0,0
78,55,6,0,5,1,2,0,1,0,0,0,0
79,42,3,0,3,1,0,0,1,0,0,0,0
80,50,3,0,0,1,2,0,1,0,0,0,0
81,51,3,0,0,1,1,1,1,0,0,0,0
82,38,2,0,1,1,0,0,1,0,0,0,0
83,49,10,0,6,1,2,0,1,0,0,1,0
84,38,4,1,6,0,0,2,1,0,0,0,1
85,31,2,2,1,0,0,0,1,0,0,0,1
86,41,6,0,2,0,0,0,1,0,0,0,1
87,39,2,0,6,0,2,2,1,0,0,0,1
88,49,4,0,3,0,0,0,1,0,0,1,1
89,34,2,0,1,0,2,0,1,0,0,0,1
90,35,2,0,6,0,2,0,1,0,0,0,1
91,57,9,0,5,1,2,0,1,0,0,0,0
92,60,2,0,5,1,0,2,1,0,0,0,0
93,33,7,0,3,0,0,0,1,0,0,0,1
94,42,3,0,2,0,0,2,1,0,0,0,1
95,45,1,0,4,0,2,0,1,0,0,0,1
96,42,6,0,6,0,0,0,1,0,0,0,1
97,53,2,2,6,1,0,0,1,0,0,0,0
98,37,4,1,4,0,0,0,1,0,0,0,1
99,44,3,0,2,0,0,0,1,0,0,0,1
100,54,1,0,5,0,2,0,1,0,0,0,1
101,49,3,0,0,0,0,0,1,0,0,0,1
102,54,1,0,5,0,0,0,1,0,0,0,1
103,52,2,2,6,0,0,0,1,0,0,0,1
104,52,2,2,6,0,0,0,1,0,0,0,1
105,43,1,1,1,1,0,0,1,0,0,0,0
106,34,0,0,2,0,2,0,1,0,0,0,1
107,35,2,0,1,0,2,0,1,0,0,0,1
108,42,10,0,5,1,2,0,1,0,0,0,0
109,43,4,0,5,1,2,2,1,0,0,0,0
110,60,5,2,6,1,0,0,1,0,0,0,0
111,58,7,0,0,1,0,0,1,0,0,0,0
112,35,1,2,1,0,2,0,1,0,0,0,1
113,55,3,0,3,1,2,0,1,0,0,0,0
114,37,6,0,6,0,0,0,1,0,0,0,1
115,36,3,0,1,0,0,0,1,0,0,0,1
116,52,2,2,6,0,0,0,1,0,0,0,1
117,57,3,2,5,1,2,0,1,0,0,0,0
118,56,2,0,5,0,2,0,1,0,0,0,1
119,48,3,2,0,1,2,0,1,0,0,0,0
120,40,3,0,1,1,2,0,1,0,0,0,0
121,49,3,2,1,0,0,0,1,0,0,0,1
122,41,1,0,1,0,0,0,1,0,0,0,1
123,45,4,0,1,0,2,0,1,0,0,0,1
124,32,2,0,6,0,2,2,1,0,0,0,1
125,42,2,0,6,0,0,2,1,0,0,0,1
126,50,2,0,2,0,0,0,1,0,0,0,1
127,31,4,2,4,0,2,2,1,0,0,0,1
128,56,5,0,0,0,2,0,1,0,0,0,1
129,41,4,0,4,1,2,0,1,0,0,1,0
130,37,3,0,2,0,2,2,1,0,0,0,1
131,41,4,0,4,1,0,0,1,0,0,0,0
132,35,3,0,5,0,2,0,1,0,0,0,1
133,37,3,0,2,0,2,0,1,0,0,0,1
134,52,6,0,6,0,0,0,1,0,0,0,1
135,39,6,2,6,0,0,0,1,0,0,0,1
136,39,0,0,0,1,0,0,1,0,0,0,0
137,56,3,0,0,1,0,0,1,0,0,0,0
138,34,1,0,1,0,2,0,1,0,0,0,1
139,45,3,0,3,1,2,0,1,0,0,1,0
140,43,7,1,6,0,2,0,1,0,0,0,1
141,56,6,0,5,0,2,0,1,0,0,0,1
142,39,6,0,6,0,2,0,1,0,0,0,1
143,53,3,0,0,0,2,0,1,0,0,0,1
144,38,9,2,1,1,2,0,1,0,0,0,0
145,42,3,0,0,1,2,0,1,0,0,0,0
146,42,3,0,0,1,0,0,1,0,0,0,0
147,35,2,1,1,0,2,0,1,0,0,0,1
148,40,2,0,6,1,2,0,1,0,0,0,0
149,51,3,0,0,0,2,0,1,0,0,0,1
150,60,3,0,3,1,0,0,1,0,0,0,0
151,56,10,0,5,1,2,0,1,0,0,0,0
152,39,1,2,1,1,2,0,1,0,0,0,0
153,56,10,0,5,1,0,0,1,0,0,0,0
154,40,3,0,5,0,2,2,1,0,0,0,1
155,36,3,0,3,0,2,2,1,0,0,0,1
156,51,3,0,5,1,2,0,1,0,0,0,0
157,51,3,0,5,1,0,0,1,0,0,0,0
158,43,4,1,4,0,2,0,1,0,0,0,1
159,59,1,0,1,0,0,0,1,0,0,0,1
160,24,6,1,6,0,2,0,1,0,0,0,1
161,37,3,1,3,1,2,2,1,0,0,0,0
162,40,3,0,3,1,0,0,1,0,0,0,0
163,42,3,0,3,1,0,0,1,0,0,0,0
164,39,1,2,1,1,0,0,1,0,0,0,0
165,37,10,0,2,0,0,0,1,0,0,0,1
166,38,1,0,1,0,2,2,1,0,0,0,1
167,56,2,2,5,1,0,0,1,0,0,0,0
168,40,3,0,5,0,0,0,1,0,0,0,1
169,54,6,2,6,0,2,0,1,0,0,0,1
170,43,3,0,1,1,0,2,1,0,0,0,0
171,36,1,0,1,1,0,0,1,0,0,0,0
172,45,4,0,6,0,2,2,1,0,0,0,1
173,42,2,1,6,1,0,0,1,0,0,0,0
174,43,1,0,1,0,0,0,1,0,0,0,1
175,46,6,0,3,0,0,0,1,0,0,0,1
176,44,1,0,1,0,2,2,1,0,0,0,1
177,51,2,1,2,0,0,0,1,0,0,0,1
178,28,1,0,1,0,2,0,1,0,0,0,1
179,37,3,0,3,0,0,0,1,0,0,0,1
180,34,4,0,1,0,0,0,1,0,0,0,1
181,46,3,0,2,1,2,0,1,0,0,0,0
182,42,3,0,3,0,2,2,1,0,0,1,1
183,36,2,0,6,0,2,0,1,0,0,0,1
184,54,3,0,0,1,0,0,1,0,0,0,0
185,57,6,0,6,0,0,0,1,0,0,0,1
186,51,4,0,2,1,0,0,1,0,0,0,0
187,54,5,0,1,1,0,0,1,0,0,0,0
188,49,3,0,0,1,0,0,1,0,0,0,0
189,34,2,0,6,0,2,0,1,0,0,0,1
190,41,4,0,4,0,0,0,1,0,0,0,1
191,38,3,1,3,0,2,0,1,0,0,0,1
192,45,6,2,6,0,0,0,1,0,0,0,1
193,42,4,0,6,0,0,0,1,0,0,0,1
194,34,3,1,3,1,2,0,1,0,0,0,0
195,48,3,0,0,0,2,0,1,0,0,0,1
196,37,2,0,1,1,2,0,1,0,0,0,0
197,34,3,1,3,1,0,0,1,0,0,0,0
198,40,2,0,3,1,2,0,1,0,0,0,0
199,43,3,0,2,0,2,0,1,0,0,0,1
200,33,1,0,1,0,0,0,1,0,0,0,1
201,32,1,1,2,0,0,0,1,0,0,0,1
202,39,3,0,1,0,2,0,1,0,0,0,1
203,43,2,0,5,0,0,0,1,0,0,0,1
204,44,3,0,3,0,2,0,1,0,0,0,1
205,35,11,1,6,1,0,0,1,0,0,0,0
206,35,11,1,6,1,2,2,1,0,0,0,0
207,35,7,0,4,0,0,0,1,0,0,0,1
208,36,1,1,0,0,0,0,1,0,0,0,1
209,35,11,1,6,1,2,0,1,0,0,0,0
210,36,11,1,3,0,2,0,1,0,0,0,1
211,55,0,2,6,0,0,0,1,0,0,0,1
212,59,2,0,6,0,0,0,1,0,0,0,1
213,57,5,0,5,1,0,0,1,0,0,0,0
214,39,3,0,4,1,2,0,1,0,0,0,0
215,39,0,0,0,1,2,0,1,0,0,0,0
216,30,3,1,5,0,2,0,1,0,0,0,1
217,30,3,1,5,0,2,2,1,0,0,0,1
218,50,0,0,0,1,0,0,1,0,0,0,0
219,40,1,0,1,0,0,0,1,0,0,0,1
220,35,2,0,1,0,2,0,1,0,0,0,1
221,43,4,0,5,1,0,0,1,0,0,0,0
222,36,1,1,2,1,2,0,1,0,0,0,0
223,46,4,0,0,1,2,0,1,0,0,0,0
224,40,4,0,3,0,0,0,1,0,0,0,1
225,58,5,0,6,0,0,0,1,0,0,0,1
226,42,4,0,6,0,0,0,1,0,0,0,1
227,35,2,1,6,0,0,0,1,0,0,0,1
228,43,5,0,0,1,0,0,1,0,0,0,0
229,45,3,0,0,0,2,2,1,0,0,0,1
230,39,2,0,4,0,2,0,1,0,0,0,1
231,50,1,2,4,0,2,0,1,0,0,0,1
232,32,6,2,0,1,2,0,1,0,0,0,0
233,39,2,0,1,1,0,0,1,0,0,0,0
234,52,8,0,6,1,0,0,1,0,0,0,0
